name,year1,state1,leaid1,leaid_name1,year2,state2,leaid2,leaid_name2,year3,state3,leaid3,leaid_name3,prediction,confidence,reasoning,evidence_urls
alexandra estrella,2014-2020,ny,3600079,Nyc Geog Dist # 4 - Manhattan,2020-2023,ct,903090,Norwalk School District,,,,,same,high,"I have found definitive evidence that both superintendent records refer to the same person, Dr. Alexandra Estrella. 

**Evidence Found:**
1. **Norwalk Public Schools Official Bio** (Tier 1): Dr. Alexandra Estrella's official biography on norwalkps.org explicitly states she ""became the Superintendent of Community School District Four in East Harlem, New York"" and served there during the 2019-2020 academic year before joining Norwalk Public Schools on July 1, 2020.

2. **Government Finance Officers Association Profile** (Tier 1): The GFOA profile confirms ""Prior to joining Norwalk, Dr. Estrella spent seven years in the role of superintendent for Community School District Four in East Harlem, New York.""

3. **News Coverage** (Tier 2): Multiple news sources confirm the transition, including The Hour newspaper which reported she had been ""superintendent of Community School District 4 in East Harlem, N.Y., leading 23 schools and 13,500 students"" for seven years before becoming Norwalk superintendent.

**Timeline Verification:**
- Position 1: NYC Geographic District #4 (Community School District 4) in East Harlem, 2014-2020 (7 years)
- Position 2: Norwalk School District (CT), 2020-2023 (started July 1, 2020)

The timeline perfectly aligns with her documented career progression. The seven-year tenure at District 4 (2013-2020) encompasses the 2014-2020 period in the first record, and she began the Norwalk position exactly when the second record starts.

**Name Verification:** Both records reference the same person - Dr. Alexandra Estrella, with the ""Ms."" and ""Dr."" titles being appropriate for different contexts.

**Geographic Relevance:** All sources are US-based K-12 education focused, with no irrelevant international or non-education results.

This represents a clear case of a superintendent moving from a New York City district to a Connecticut district, which is a common career progression in education leadership.","https://www.norwalkps.org/departments/superintendent-of-schools/meet-our-superintendent, https://www.gfoa.org/bio/estrella, https://www.thehour.com/news/article/She-is-visionary-Estrella-brings-new-15382766.php, https://www.norwalkps.org/departments/superintendent-of-schools"
allen johnson,"2003-2014, 2017",il,1731950,Pleasant Valley Sch Dist 62,2009-2012,nc,3700270,Asheville City Schools,,,,,different,high,"I found strong evidence that these are two different superintendents due to a clear temporal impossibility. Allen B Johnson was superintendent at Pleasant Valley SD 62 (Illinois) during 2009-2012, while Allen Johnson was simultaneously superintendent at Asheville City Schools (North Carolina) during the same period. One person cannot hold two full-time superintendent positions in different states for multiple years.

Evidence for Allen B Johnson (Illinois):
- Illinois State Board of Education salary data (2007) confirms ""Johnson, Allen B"" as superintendent at Pleasant Valley SD 62 with salary $102,484
- 2007 news articles show ""Pleasant Valley School District Superintendent Allen Johnson"" defending district policies
- Weebly site shows ""allen johnson, ed.d. superintendent"" for 2014-2015 school year
- Board minutes from October 2009 reference ongoing district operations under his leadership

Evidence for Allen Johnson (North Carolina):
- Multiple sources confirm he was superintendent of Asheville City Schools from January 2008 to spring 2013
- Served as interim superintendent starting July 2007, then permanent superintendent January 2008
- Official district documents list him as superintendent in 2009
- Left Asheville in spring 2013 with a $175,000 buyout

The overlapping tenure (2009-2012) in different states proves these must be two different individuals, despite the similar names. The ""B"" middle initial helps distinguish them but the timeline conflict is definitive evidence.","https://www.isbe.net/Documents/supts_sal07.pdf, https://www.therecordherald.com/story/news/2007/11/05/state-briefs-11-06-07/46272828007/, https://pleasantvalley62.weebly.com/?view=full, https://www.ashevilledailyplanet.com/news/1717-allen-johnson-chosen-to-head-asheville-school-system, https://theurbannews.com/our-town/2007/board-of-education-names-three-superintendent-finalists/, https://mountainx.com/blogwire/ac-t_questions_linger_in_johnson_departure/, https://resources.finalsite.net/images/v1736175324/ashevillecityschoolsnet/rdlx8k6u8u7zutedkhsu/2009AnnualComprehensiveFinancialReport.pdf"
amy jackson,"2007, 2022-2024",ar,509570,Maynard School District,2024,mo,2930750,Van Buren R-I,,,,,different,high,"These records clearly refer to different people based on several key pieces of evidence:

1. **Different Names**: The records show ""JACKSON, WILLIAM G."" vs ""AMY JACKSON"" - completely different first names, which is definitive evidence of different individuals.

2. **Amy Jackson's Verified Career Path**: 
   - Worked at Van Buren R-I (MO) as Building Principal from 2021-2023
   - Hired as Superintendent at Maynard School District (AR) on February 17, 2023 (confirmed by KAIT news article)
   - Currently serves as Superintendent at Maynard (AR) with 2024 salary of $117,131
   - LinkedIn profile shows ""Dr. Amy Jackson"" at Maynard School District

3. **Timeline Inconsistencies**: The original records show William G. Jackson at Maynard 2022-2024, but my research confirms Amy Jackson was hired there in February 2023 and is currently the superintendent, indicating data errors in the original records.

4. **Geographic Distribution**: Amy Jackson moved from Missouri to Arkansas, which is a plausible career transition, but there's no evidence of William G. Jackson's actual tenure at Maynard despite the records.

The different first names alone would be sufficient to conclude these are different people, but the verified career trajectories and timeline discrepancies provide additional confirmation that these records refer to two separate individuals.","https://www.kait8.com/2023/03/07/community-outraged-over-superintendent/, https://govsalaries.com/jackson-amy-195838898, https://www.maynard.nesc.k12.ar.us/staff, https://www.vanburen.k12.mo.us/article/1516717, https://www.linkedin.com/in/dr-amy-jackson-047889126"
amy kruppe,2007-2013,il,1728500,Niles Esd 71,2015,mi,2618030,Hazel Park,,,,,same,high,"I found strong evidence that both superintendent records refer to the same person:

**Phase 1-2 Evidence:**
- Found official district domains: niles71.org and hazelparkschools.org
- Discovered multiple board meeting minutes from Hazel Park Schools in 2015 clearly identifying ""Dr. Amy Kruppe, Superintendent""

**Phase 3 Connection Evidence:**
- Oakland County 115 (2015): Explicit hiring announcement stating ""Dr. Amy Kruppe (pronounced Kroup-E), from the Niles (IL) Elementary School District 71 (a northwest Chicago suburb), has been selected"" as Hazel Park superintendent
- Patch article: Confirms Amy Kruppe was superintendent of Niles Elementary School District 71
- Journal & Topics articles: Document her resignation from Niles Esd 71 in 2013/2014 with severance arrangements
- 2013 budget PDF: Shows ""a.kruppe"" as author, confirming her role as superintendent at Niles Esd 71

**Career Timeline Verification:**
- The evidence shows a clear career progression: Amy Kruppe was superintendent at Niles Esd 71 through at least 2013, then resigned and was hired as superintendent at Hazel Park Schools in 2015
- This timeline aligns perfectly with the records provided (Niles Esd 71: 2007-2013, Hazel Park: 2015)

**Evidence Quality:**
- Multiple independent sources (Oakland County 115, Patch, Journal & Topics, official district documents)
- Direct connection between the two positions in hiring announcement
- Full name verification at both districts
- No conflicting evidence found

This represents a clear case of the same superintendent moving from one district to another, which is common in the education field.","https://oaklandcounty115.com/2015/05/26/hazel-park-names-dr-amy-kruppe-new-superintendent/, https://patch.com/illinois/niles/culver-school-gets-a-doctor, https://www.journal-topics.com/articles/niles-dist-71-president-speaks-out-on-superintendent-departure/, https://www.hazelparkschools.org/downloads/board_of_education/09_21_15_regular_minutes_unofficial.pdf, https://campussuite-storage.s3.amazonaws.com/prod/2271/b93cac37-f517-11e5-b537-22000bd8490f/8450/89e8e209-1b60-11e6-b537-22000bd8490f/file"
andre spencer,2020-2022,tx,4828890,Manor Isd,2023-2024,nj,3416080,Teaneck Twp,,,,,same,high,"Multiple Tier 1 sources explicitly confirm that Dr. Andre D. Spencer moved from Manor ISD (Texas) to Teaneck Public Schools (New Jersey). The full name matches exactly at both districts, and the timeline is perfectly consistent: Manor ISD (2020-2022) followed by Teaneck (2023-2024). North Jersey News directly states ""Andre Spencer, schools chief in Manor, Texas, was named superintendent of the Teaneck school district"" and CBS Austin confirms he left Manor ISD at the end of 2022. This is clearly the same person who transitioned between these two superintendent positions.","https://www.northjersey.com/story/news/bergen/teaneck/2022/12/15/teaneck-board-of-education-names-texas-schools-chief-to-lead-district/69729778007/, https://cbsaustin.com/news/local/dr-tamey-williams-hill-named-manor-isd-interim-superintendent-board-of-trustees-vote-andre-spencer-chief-human-capital-officer-aisd, https://www.teaneckschools.org/ContactUsAdministration.aspx, https://www.manorisd.net/about-us/news-and-annoucements"
andrea perez,2008,ca,643170,Woodville Union Elementary,2023-2024,tx,4801438,Basis Texas,,,,,same,high,"I found strong evidence that both superintendent records refer to the same person. The key breakthrough was discovering a Tulare County Office of Education document that explicitly states ""Andrea began her career as a teacher at Woodville Union in Tulare County before serving as the school's Vice Principal and Superintendent/Principal."" This directly confirms her role at Woodville Union Elementary. 

For the BASIS Texas position, multiple independent sources confirm Andrea Perez as Superintendent: Education Service Center Region 20 charter directory, San Antonio Magazine, Texas School Directory 2020-21, ProPublica nonprofit data, and a leadership podcast. 

The career trajectory is logical and documented: starting as teacher at Woodville Union, advancing to Vice Principal then Superintendent/Principal (2008 timeframe), later moving to Kings County Office of Education (2014), then Tulare County Office of Education as Assistant Superintendent, and currently serving as Superintendent of BASIS Texas (2023-2024). The 15-year timeline and geographic progression from California to Texas is consistent with a single person's career advancement.","https://www.tcoe.org/docs/default-source/communications/news-gallery-week/ngw-2021/ngw-1-13-21.pdf?sfvrsn=58c4592c_3, https://www.esc20.net/apps/pages/charter-school-information, https://www.sanantoniomag.com/the-face-of-charter-schools-basis-texas-charter-schools/, https://tealprod.tea.state.tx.us/TEA.AskTED.TSD/TSDfiles/tsd2021/tagged/00_texas_school_directory_2020-21.pdf, https://projects.propublica.org/nonprofits/organizations/454269957, https://betweentheonesandzeros.net/episode/"
andrew barrett,2022-2024,ar,507530,Hazen School District,2023,il,1716380,Geneva Cusd 304,,,,,different,high,"I have strong evidence that these are different people based on multiple factors:

**Different Middle Initials:**
- Hazen School District (AR): ""BARRETT, ANDREW D."" (confirmed by Arkansas Dept of Education official data)
- Geneva CUSD 304 (IL): ""Andrew J. Barrett, Ed.D."" (confirmed by district website, news articles, and Illinois Report Card)

**Impossible Timeline Overlap:**
- Hazen position: 2022-2024
- Geneva position: Started July 1, 2023
- This creates a direct overlap where one person would need to be superintendent in two different states simultaneously

**Documented Career Trajectory:**
- Andrew J. Barrett has been with Geneva CUSD 304 since 2006, progressing from teacher → principal → assistant superintendent → superintendent
- He was specifically chosen as the successor to Dr. Kent Mutchler who retired June 30, 2023
- Local news coverage shows his entire career has been in Illinois

**Role Confirmation:**
- Both served as superintendents, but the Geneva promotion was a major local event with extensive coverage
- Andrew J. Barrett's contract runs July 1, 2023 to June 30, 2026, confirming he was committed to Geneva during the Hazen timeframe

The combination of different middle initials, impossible timeline overlap, and Andrew J. Barrett's documented long-term career in Geneva provides conclusive evidence these are different individuals.","https://www.geneva304.org/directory1.aspx, https://www.geneva304.org/Superintendent1.aspx, https://www.hazen.k12.ar.us/staff, https://adedata.arkansas.gov/statewide/ReportList/Districts/SuperintendentContactList.aspx?page=12, https://patch.com/illinois/geneva/current-assistant-superintendent-chosen-promotion-d304-top-spot, https://www.shawlocal.com/kane-county-chronicle/2023/02/28/its-official-geneva-d-304-board-approves-contract-for-new-superintendent/"
andrew cook,2008,mi,2600262,Romulus Metro,2013-2024,ny,3613830,Hartford Csd,,,,,different,high,"Based on extensive research, I found clear evidence that these are different people:

**Andrew Cook at Hartford CSD (NY) has a documented career entirely within New York:**
- Hudson Falls graduate who taught social studies in Whitehall, NY for 4 years
- Named principal of Hartford Junior-Senior High School in 2007 at age 26
- NY State records show him as principal in 2011-2012 under Superintendent Thomas Abraham
- Became superintendent of Hartford CSD in 2013, succeeding Abraham
- Current superintendent since 2013-2024

**No connection to Michigan found:**
- Despite extensive searching, no evidence links the Hartford CSD superintendent to Michigan or Metro Charter Academy
- The Andrew Cook at Hartford was building his career in New York during the same period (2008) when another Andrew Cook was at Metro Charter Academy in Michigan
- Multiple Andrew Cooks exist in Michigan, but none in education leadership matching this profile

**Timeline inconsistency:**
- The Hartford Andrew Cook would have been 27 in 2008, early in his New York career
- Career progression shows clear local advancement from teacher to principal to superintendent within the same region

**Evidence quality:**
- Tier 1: The Post Star news article documenting Andrew Cook's NY career path
- Tier 2: NY State Accountability Report confirming his principal role in 2011-2012
- Tier 2: Multiple official sources confirming his superintendent position at Hartford CSD

These are clearly different individuals with distinct career trajectories in different states.","https://poststar.com/news/local/principal-named-to-succeed-abraham-as-school-superintendent-in-hartford/article_59fcd028-17c9-11e2-8aed-0019bb2963f4.html, https://data.nysed.gov/files/reportcards/archive/2011-12/ACC-2012-641001040001.pdf, https://www.hartfordcsd.org/message-from-superintendent, https://www.nyscoss.org/Site/Advocacy/Site/content/Advocacy/Advocacy-Overview.aspx?hkey=33dbd1f4-c41f-4a20-bbfb-f0198a8a61dd, https://mi-psc.my.site.com/sfc/servlet.shepherd/version/download/068t0000000wA7QAAU"
andrew jackson,2012-2013,oh,3904736,Northwest Local,"2015-2021, 2023-2024",in,1811190,Sunman-Dearborn Com Sch Corp,,,,,same,high,"I have strong evidence that Andrew S. Jackson at Northwest Local (OH) and Andrew Jackson at Sunman-Dearborn (IN) are the same person. The evidence includes:

**Tier 1 Evidence (Definitive):**
- Cincinnati.com news article (2015) explicitly covering the transition: ""Northwest superintendent resigns to take new post"" - states Andrew Jackson left Northwest Local to become superintendent of Sunman-Dearborn Community School Corp.
- Ohio School Boards Association document confirming ""Dr. Andrew S. Jackson announced his resignation effective July 31. He has taken a superintendent position in St. Leon, Ind.""

**Career Timeline Match:**
- Andrew Jackson came to Northwest Local from Milan, Indiana in 2008
- Became superintendent at Northwest Local in April 2013 (matching the 2012-2013 record)
- Resigned in July 2015 to take position at Sunman-Dearborn (matching the 2015-2021 record)
- Geographic move from Ohio to Indiana makes sense as he was returning to his ""home district""

**Supporting Evidence:**
- LinkedIn profile shows Andrew Jackson at Sunman-Dearborn with Ball State University education
- Named District VIII Superintendent of the Year in 2022 while at Sunman-Dearborn
- Educational background consistency (Ball State University) across sources

The name difference (Andrew S. Jackson vs Andrew Jackson) is explained by different naming conventions - the Ohio documents use his full name with middle initial, while the Indiana sources use the shorter version. This is common practice in professional contexts.

All evidence points to the same person making a career move from Ohio to Indiana in 2015, with the timeline perfectly matching the provided records.","https://www.cincinnati.com/story/news/local/colerain/2015/05/12/northwest-local-superintendent-leaves-sunman-dearborn/27165167/, https://ohioauditor.gov/auditsearch/Reports/2014/Northwest_Local_School_District_13-Hamilton.pdf, https://www.ohioschoolboards.org/sites/default/files/June8BC.pdf, https://www.linkedin.com/in/andrew-jackson-59226890, https://www.eaglecountryonline.com/news/local-news/dr-andrew-jackson-named-district-viii-superintendent-of-the-year/"
andrew miller,2013-2020,oh,3904675,Buckeye Valley Local,2022-2024,tx,4831290,Moody Isd,,,,,different,high,"I found strong evidence that Andrew J. Miller at Buckeye Valley Local Schools (OH) and Andrew Miller at Moody ISD (TX) are different people. Andrew J. Miller had a 22-year career entirely in Ohio at Buckeye Valley Local Schools from 2000-2022, progressing from principal to superintendent before stepping down in early 2022 due to a medical condition. In contrast, Andrew Miller has worked exclusively in Texas education since at least 2007, progressing through Belton ISD, Midland ISD, Temple ISD, and then Moody ISD (middle school principal 2011-2016, high school principal 2016-2021, assistant superintendent 2021-2022, superintendent 2022-present). The geographic separation, overlapping timeline (Andrew J. Miller was dealing with health issues in Ohio while Andrew Miller was advancing in Texas), and completely different career paths in different states clearly indicate these are two different individuals with the same name.","https://www.delgazette.com/2021/09/28/miller-to-step-down-as-bv-superintendent/, https://kdhnews.com/news/region/miller-named-lone-finalist-for-moody-isd-superintendent/article_0a9c6e44-acbe-5349-adb8-7622cfcaabc1.html, https://www.yahoo.com/news/moody-isd-supt-named-region-183500214.html, https://www.esc12.net/p/~board/main-news/post/mclennan-county-school-leader-selected-as-region-12-superintendent-of-the-year"
andrew oberg,2017,ga,1300232,Georgia Cyber Academy,2020-2024,pa,4214880,McGuffey SD,,,,,same,high,"I found definitive Tier 1 evidence connecting both positions. The Observer-Reporter article from January 8, 2021 explicitly states that Dr. Andrew Oberg was hired as superintendent at McGuffey School District and was ""a former CEO of Georgia Cyber Academy, the state's largest online school."" This provides a direct, explicit connection between both positions. The McGuffey School District official website confirms Dr. Andrew Oberg as the current superintendent. The timeline is plausible with a 3-year gap between the positions (2017 at Georgia Cyber Academy, 2020-2024 at McGuffey SD), and the full name ""Dr. Andrew Oberg"" matches exactly at both locations. Cross-state superintendent moves from Georgia to Pennsylvania are common career paths.","https://www.observer-reporter.com/news/2021/jan/08/mcguffey-new-superintendent-adjusting-to-role-amid-pandemic/, https://www.mcguffey.k12.pa.us/OfficeoftheSuperintendent.aspx"
andrew wise,2014-2015,mi,2600101,Macomb Academy,2021-2023,il,1708970,Center Cass Sd 66,,,,,different,high,"The evidence clearly shows these are two different people named Andrew Wise. The Andrew Wise at Macomb Academy (MI) from 2014-2015 is a different individual from Dr. Andrew S. Wise at Center Cass SD 66 (IL) from 2021-2023. The Michigan Andrew Wise worked as Superintendent/Principal at Macomb Academy 2012-2016, then became Principal at Potterville High School (2016-2019) and currently Principal at Holt Public Schools (2019-present). The Illinois Andrew S. Wise has a doctorate from Illinois State University, received Illinois Superintendent of the Year Award in 2019, and has been superintendent at Center Cass SD 66. Their career paths, educational backgrounds, and current positions are completely different.","https://rocketreach.co/andrew-wise-email_42250190, https://www.ccsd66.org/page/superintendent, https://www.aasa.org/about-aasa/person/andrew-wise"
angela johnson,"2008, 2011-2012",mi,2600123,Casa Richard,2018-2022,ca,632730,Rio Dell Elementary,,,,,different,medium,"I have conducted a comprehensive search across multiple phases to determine if Angela Johnson at Casa Richard Academy (MI, 2008-2012) is the same person as Angela Johnson at Rio Dell Elementary (CA, 2018-2022).

Key findings:
1. Rio Dell Elementary: Strong evidence confirms Angela M. Johnson as superintendent since 2018, with multiple official sources (California Dept of Education, district website, salary records, LCAP documents) showing consistent employment through 2022.

2. Casa Richard Academy: Despite extensive searching, I found NO evidence that Angela Johnson was superintendent at Casa Richard Academy. Instead, I found:
   - Angela Johnson working as a School Social Worker for Detroit Public Schools in 2008-2009
   - Terry Lajiness as Administrative Assistant at Casa Richard Academy
   - No archived web content from 2008-2012 for Casa Richard Academy

3. Geographic and career trajectory: The positions are in different states (Michigan vs California) with a 6-7 year gap. While superintendent moves across states are common, I found no evidence connecting these two careers or showing a transition from Michigan social work to California superintendency.

4. Name commonality: ""Angela Johnson"" is moderately common, but the lack of ANY evidence linking the two positions, combined with the clear evidence of different roles (social worker vs superintendent), strongly suggests different people.

The evidence points to different individuals rather than the same person moving between positions.","https://www.cde.ca.gov/schooldirectory/details?cdscode=12630080000000, https://www.riodellschools.net/staff, https://govsalaries.com/angela-m-johnson-203234203, https://hcoe.org/wp-content/hcoe-files/lcap/2024-2025/36%20Rio%20Dell%202024-25%20LCAP%209.16.24%20DTS.pdf, https://www.michigan.gov/-/media/Project/Websites/mde/Year/2010/08/18/Homeless_Liaisons_0809.pdf?rev=4a10356fc83d4b2bac5ff639331895af"
angela smith,2014-2023,oh,3904788,Madison Local,2021-2022,tx,4813170,Castleberry Isd,,,,,different,high,"I found strong evidence that these are two different people with different full names:

**Position 1 - Madison Local (OH), 2014-2023:**
- Angela M. Smith (no middle name ""Renee"" found)
- Served as superintendent from 2015-2025 at Madison Local Schools in Ohio
- Education: University of Akron and Ashland University
- Career: 23 years at Madison district, joined in 2002

**Position 2 - Castleberry ISD (TX), 2021-2022:**
- Angela Renee Smith (explicitly shows middle name ""Renee"")
- Served as superintendent at Castleberry ISD in Texas
- Education: Texas Christian University and University of North Texas
- Career: 30+ years at Castleberry district, joined in 1991

The key differentiator is the middle name ""Renee"" which appears consistently in Texas records but never in Ohio records. Additionally, their educational backgrounds and career paths show they are entirely different individuals who built their careers in different states. The overlapping years (2021-2022) also confirm they cannot be the same person holding two superintendent positions simultaneously in different states.","https://www.madisonschools.net/superintendent, https://rptsvr1.tea.texas.gov/cgi/sas/broker?_service=marykay&_program=adhoc.addispatch.sas&endyear=22&major=pe&minor=a&format=w&selsumm=od&linespg=60&charsln=120&grouping=descending+base_pay&countykey=%26countykey.&loop=2&key=TARRANT+COUNTY&_debug=0, https://castleberryisd.net/departments/superintendent, https://www.news-herald.com/2024/08/19/madison-schools-superintendent-angela-smith-to-step-down-at-end-of-2024-25-academic-year/"
